ISO,Country,Subject Descriptor,Subject Notes,Units,Scale,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
DMA,Dominica,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.028,-0.025,-0.044,-0.046,-0.238,-0.155,-0.097,-0.146,-0.105,-0.092,-0.072,-0.069,-0.066,2018
DMA,Dominica,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-5.381,-4.653,-7.68,-8.855,-44.883,-26.724,-18.797,-27.971,-18.509,-15.325,-11.386,-10.528,-9.729,2018
DOM,Dominican Republic,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-1.027,-0.741,-0.798,1.036,1.041,-0.473,-1.287,-2.166,-4.52,-2.303,-4.024,-4.359,-3.971,-2.568,-2.17,-1.28,-0.815,-0.133,-1.16,-1.205,-1.47,-1.767,-1.973,-2.387,-2.62,-2.982,-3.253,2019
DOM,Dominican Republic,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-4.223,-2.894,-2.928,4.815,4.628,-1.316,-3.388,-4.916,-9.376,-4.766,-7.462,-7.504,-6.536,-4.092,-3.226,-1.797,-1.075,-0.166,-1.354,-1.353,-1.867,-2.106,-2.191,-2.469,-2.529,-2.682,-2.727,2019
ECU,Ecuador,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,1.113,-0.551,-1.219,-0.387,-0.479,0.474,1.74,1.886,1.769,0.313,-1.582,-0.4,-0.146,-0.933,-0.669,-2.221,1.116,-0.149,-1.328,-0.053,0.499,1.869,2.045,2.025,2.176,2.134,1.643,2019
ECU,Ecuador,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,6.074,-2.253,-4.27,-1.193,-1.31,1.142,3.718,3.698,2.865,0.501,-2.275,-0.505,-0.167,-0.981,-0.657,-2.237,1.116,-0.143,-1.235,-0.049,0.516,1.858,1.969,1.896,1.976,1.874,1.392,2019
EGY,Egypt,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-1.163,-0.033,0.614,1.943,3.418,2.911,1.752,2.269,0.888,-4.424,-4.318,-6.088,-10.146,-6.39,-2.746,-12.143,-19.831,-14.394,-5.962,-10.894,-11.167,-15.887,-17.266,-11.754,-12.527,-13.589,-15.245,2020
EGY,Egypt,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-1.11,-0.033,0.68,2.281,4.125,3.092,1.552,1.656,0.52,-2.231,-1.877,-2.457,-3.64,-2.219,-0.899,-3.657,-5.965,-6.086,-2.383,-3.603,-3.086,-4.029,-4.019,-2.527,-2.522,-2.524,-2.53,2020
SLV,El Salvador,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.431,-0.15,-0.405,-0.702,-0.642,-0.622,-0.766,-1.217,-1.532,-0.312,-0.533,-1.112,-1.24,-1.518,-1.214,-0.754,-0.55,-0.465,-1.226,-0.558,-0.37,-1.09,-0.941,-1.142,-1.241,-1.388,-1.503,2019
SLV,El Salvador,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-3.653,-1.224,-3.199,-5.302,-4.677,-4.229,-4.785,-7.151,-8.518,-1.774,-2.888,-5.481,-5.797,-6.905,-5.371,-3.216,-2.274,-1.86,-4.695,-2.064,-1.502,-4.148,-3.425,-3.995,-4.19,-4.536,-4.762,2019
GNQ,Equatorial Guinea,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.352,-0.817,-1.117,-0.188,0.454,1.376,1.94,2.181,1.557,-1.468,-3.303,-1.212,-0.252,-0.526,-0.925,-2.167,-1.458,-0.71,-0.711,-0.694,-0.803,-0.425,-0.498,-0.449,-0.467,-1.977,-2.205,2017
GNQ,Equatorial Guinea,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-30.391,-48.795,-53.927,-4.999,7.634,16.805,19.213,16.66,7.85,-9.732,-20.244,-5.675,-1.125,-2.397,-4.251,-16.435,-12.974,-5.816,-5.353,-6.294,-8.426,-3.622,-4.381,-3.892,-3.959,-16.546,-17.984,2017
ERI,Eritrea,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.115,-0.144,--,-0.016,-0.007,0.004,-0.043,-0.081,-0.071,-0.147,-0.175,0.264,0.281,0.045,0.451,0.419,0.339,0.456,0.31,0.239,0.222,0.313,0.326,0.309,0.302,0.303,0.317,2018
ERI,Eritrea,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-21.079,-24.775,-0.07,-2.348,-0.869,0.432,-4.631,-7.897,-7.642,-11.319,-11.006,12.796,12.441,2.278,17.335,20.762,15.323,23.961,15.44,12.066,10.651,13.927,13.493,12.085,11.137,10.566,10.439,2018
EST,Estonia,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.309,-0.445,-0.818,-1.273,-1.45,-1.226,-2.545,-3.34,-2.115,0.502,0.349,0.305,-0.437,0.073,0.191,0.406,0.296,0.617,0.282,0.619,-0.323,0.139,-0.184,-0.211,-0.204,-0.31,-0.165,2020
EST,Estonia,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-5.403,-7.095,-11.06,-12.865,-11.924,-8.683,-14.937,-14.862,-8.646,2.536,1.769,1.304,-1.883,0.29,0.711,1.761,1.221,2.289,0.919,1.967,-1.04,0.396,-0.482,-0.518,-0.472,-0.679,-0.343,2020
SWZ,Eswatini,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.046,0.009,0.033,0.089,0.071,-0.103,-0.197,-0.065,-0.231,-0.416,-0.388,-0.282,0.246,0.499,0.512,0.527,0.3,0.275,0.063,0.194,0.275,0.206,0.089,0.258,0.287,0.278,0.26,2019
SWZ,Eswatini,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-2.639,0.584,2.319,4.068,2.574,-3.23,-5.974,-1.889,-7.02,-11.572,-8.748,-5.84,5.026,10.84,11.571,12.969,7.873,6.245,1.345,4.347,6.952,4.877,2.029,5.734,6.112,5.664,4.847,2019
ETH,Ethiopia,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,0.013,-0.373,-0.137,-0.136,-0.668,-1.568,-1.786,-0.828,-1.806,-2.191,-0.425,-0.783,-2.985,-2.82,-3.576,-7.401,-6.66,-6.539,-5.231,-4.934,-4.429,-3.421,-3.631,-3.824,-4.042,-4.137,-4.449,2020
ETH,Ethiopia,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,0.165,-4.608,-1.746,-1.585,-6.598,-12.657,-11.665,-4.284,-6.879,-7.641,-1.582,-2.569,-7.071,-6.059,-6.602,-11.733,-9.234,-8.51,-6.522,-5.328,-4.584,-3.641,-3.908,-3.75,-3.558,-3.297,-3.206,2020
FJI,Fiji,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.093,-0.111,-0.02,-0.139,-0.369,-0.222,-0.438,-0.315,-0.532,-0.119,-0.14,-0.197,-0.058,-0.405,-0.282,-0.164,-0.179,-0.36,-0.47,-0.697,-0.726,-0.537,-0.379,-0.336,-0.318,-0.307,-0.331,2019
FJI,Fiji,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-5.076,-6.198,-1.014,-5.554,-12.5,-6.816,-13.018,-8.541,-13.948,-3.838,-4.119,-4.82,-1.354,-8.933,-5.798,-3.492,-3.627,-6.72,-8.421,-12.677,-16.81,-11.7,-7.4,-6,-5.3,-4.8,-4.9,2019
FIN,Finland,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,9.024,9.942,10.969,7.404,11.061,5.898,8.535,10.328,7.265,5.053,3.716,-3.968,-5.312,-4.878,-3.661,-2.198,-4.813,-2.035,-5.226,-0.415,2.172,4.574,4.299,4.007,3.54,3.256,2.698,2020
FIN,Finland,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,7.158,7.675,7.818,4.314,5.603,2.877,3.931,4.028,2.543,1.996,1.489,-1.44,-2.055,-1.798,-1.332,-0.937,-1.999,-0.796,-1.893,-0.154,0.802,1.522,1.355,1.219,1.044,0.932,0.749,2019
FRA,France,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,15.021,21.696,17.225,15.413,11.288,2.283,5.877,-2.712,-20.404,-14.847,-16.654,-24.621,-25.901,-14.343,-27.317,-8.978,-12.025,-19.888,-15.611,-18.117,-60.726,-61.696,-55.218,-38.518,-36.468,-31.357,-30.013,2020
FRA,France,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,1.099,1.575,1.148,0.836,0.533,0.104,0.253,-0.102,-0.696,-0.55,-0.629,-0.859,-0.965,-0.51,-0.956,-0.368,-0.486,-0.767,-0.559,-0.667,-2.337,-2.1,-1.759,-1.188,-1.091,-0.911,-0.848,2020
GAB,Gabon,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,1.001,0.517,0.338,0.766,0.924,1.983,1.796,1.701,3.368,0.539,2.144,4.371,3.074,1.282,1.376,-0.801,-1.457,-1.059,-0.558,-0.31,-0.802,-0.049,-0.036,-0.026,-0.004,0.031,0.246,2019
GAB,Gabon,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,18.549,10.3,6.34,11.764,11.903,20.944,17.669,13.653,21.633,4.422,14.904,24.005,17.89,7.288,7.557,-5.571,-10.389,-7.097,-3.308,-1.834,-5.127,-0.269,-0.194,-0.135,-0.021,0.151,1.114,2019
GMB,The Gambia,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.035,-0.033,-0.033,-0.039,-0.026,-0.065,-0.045,-0.066,-0.118,-0.113,-0.155,-0.105,-0.063,-0.093,-0.09,-0.134,-0.136,-0.111,-0.158,-0.097,-0.105,-0.249,-0.285,-0.27,-0.267,-0.244,-0.243,2018
GMB,The Gambia,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-3.435,-3.297,-3.683,-4.626,-2.72,-6.283,-4.296,-5.18,-7.563,-7.783,-10.049,-7.437,-4.478,-6.738,-7.339,-9.888,-9.241,-7.394,-9.524,-5.317,-5.504,-11.997,-12.572,-10.925,-9.928,-8.359,-7.656,2018
GEO,Georgia,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.177,-0.198,-0.219,-0.386,-0.356,-0.711,-1.176,-2.01,-2.814,-1.136,-1.196,-1.844,-1.886,-0.958,-1.79,-1.763,-1.885,-1.308,-1.19,-0.957,-1.934,-1.857,-1.436,-1.294,-1.261,-1.32,-1.394,2019
GEO,Georgia,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-5.62,-5.984,-6.284,-9.407,-6.764,-10.781,-14.775,-19.221,-21.393,-10.265,-9.766,-12.203,-11.44,-5.575,-10.152,-11.793,-12.45,-8.051,-6.762,-5.477,-12.291,-11.486,-7.978,-6.586,-5.916,-5.704,-5.559,2019
DEU,Germany,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-34.324,-7.161,39.267,35.36,127.156,133.119,172.872,235.055,213.169,198.881,195.436,232.889,251.608,244.845,280.261,288.82,295.118,286.706,292.385,274.075,269.579,327.003,320.956,332.356,340.888,349.915,356.379,2020
DEU,Germany,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-1.761,-0.368,1.891,1.414,4.52,4.673,5.772,6.861,5.692,5.836,5.744,6.213,7.129,6.557,7.204,8.601,8.508,7.788,7.373,7.098,7.089,7.571,6.98,6.986,6.924,6.882,6.784,2020
GHA,Ghana,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.483,-0.374,-0.076,0.014,-0.685,-1.219,-1.678,-2.158,-3.4,-1.397,-2.77,-3.545,-4.914,-5.704,-3.698,-2.836,-2.867,-2.002,-2.044,-1.864,-2.279,-2.113,-3.902,-3.99,-3.799,-3.682,-3.96,2019
GHA,Ghana,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-4.212,-3.061,-0.535,0.082,-3.382,-4.97,-5.83,-6.357,-8.852,-4.079,-6.435,-6.609,-8.696,-9.014,-6.955,-5.835,-5.213,-3.395,-3.12,-2.783,-3.33,-2.846,-4.894,-4.716,-4.215,-3.823,-3.84,2019
GRC,Greece,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-7.836,-9.388,-9.659,-12.738,-13.325,-18.22,-29.71,-44.399,-51.535,-35.972,-29.861,-28.716,-5.983,-6.119,-5.566,-2.942,-4.583,-5.143,-7.584,-4.584,-14.069,-13.813,-7.812,-8.076,-8.703,-8.593,-9.037,2019
GRC,Greece,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-5.978,-6.945,-6.307,-6.35,-5.579,-7.409,-10.953,-14.039,-14.605,-10.962,-10.042,-10.149,-2.47,-2.565,-2.362,-1.506,-2.377,-2.571,-3.572,-2.232,-7.434,-6.582,-3.475,-3.471,-3.625,-3.466,-3.532,2019
GRD,Grenada,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.105,-0.125,-0.117,-0.162,-0.186,-0.191,-0.178,-0.244,-0.176,-0.194,-0.16,-0.161,-0.166,2018
GRD,Grenada,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-11.553,-12.507,-11.049,-14.435,-15.922,-15.861,-17.187,-23.411,-15.752,-16.193,-12.634,-12.152,-11.913,2018
GTM,Guatemala,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-1.05,-1.211,-1.262,-1.02,-1.165,-1.241,-1.524,-1.786,-1.554,0.072,-0.767,-1.58,-1.847,-2.239,-1.909,-0.774,0.637,0.804,0.595,1.854,3.874,1.856,1.418,0.998,0.489,-0.087,-0.674,2019
GTM,Guatemala,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-5.791,-6.138,-5.754,-4.416,-4.662,-4.403,-4.868,-5.098,-3.861,0.19,-1.848,-3.332,-3.701,-4.225,-3.301,-1.244,0.965,1.123,0.814,2.417,5.027,2.28,1.67,1.117,0.513,-0.085,-0.62,2019
GIN,Guinea,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.123,0.012,--,-0.002,-0.092,-0.037,-0.131,-0.461,-0.459,-0.381,-0.439,-1.107,-1.456,-1.048,-1.13,-1.138,-2.745,-0.695,-2.473,-1.892,-1.871,-2.153,-2.16,-2.118,-2.028,-2.189,-2.333,2019
GIN,Guinea,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-3.045,0.326,-0.008,-0.049,-1.814,-0.83,-3.125,-7.298,-6.582,-5.64,-6.397,-18.353,-19.933,-12.517,-12.86,-12.949,-31.905,-6.724,-20.306,-13.716,-12.107,-13.176,-12.396,-11.368,-10.193,-10.294,-10.265,2018
GNB,Guinea-Bissau,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,0.011,-0.016,-0.015,-0.014,-0.009,-0.01,-0.039,-0.031,-0.029,-0.048,-0.071,-0.014,-0.083,-0.048,0.006,0.021,0.017,0.004,-0.054,-0.123,-0.144,-0.107,-0.097,-0.083,-0.082,-0.082,-0.087,2019
GNB,Guinea-Bissau,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,2.725,-3.875,-3.28,-2.523,-1.574,-1.635,-6.22,-4.072,-3.024,-5.393,-7.529,-1.208,-7.925,-4.345,0.494,1.824,1.358,0.263,-3.598,-8.575,-10.054,-6.474,-5.427,-4.277,-3.944,-3.643,-3.58,2018
GUY,Guyana,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.07,-0.071,-0.05,-0.045,-0.019,-0.098,-0.164,-0.131,-0.232,-0.146,-0.189,-0.314,-0.302,-0.412,-0.276,-0.147,0.065,-0.232,-1.396,-1.77,-0.778,-0.813,-0.338,-0.223,0.196,1.047,1.409,2019
GUY,Guyana,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-4.656,-4.695,-3.194,-2.854,-1.153,-5.704,-8.643,-5.903,-9.322,-5.634,-6.543,-9.421,-7.432,-9.886,-6.676,-3.44,1.453,-4.887,-29.158,-34.212,-13.493,-11.202,-3.724,-2.045,1.73,8.783,11.212,2019
HTI,Haiti,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.04,-0.074,-0.03,-0.044,-0.056,0.031,-0.069,-0.085,-0.205,-0.122,-0.102,-0.327,-0.449,-0.561,-0.752,-0.266,-0.439,-0.602,-0.699,-0.247,0.781,-0.201,-0.005,-0.004,-0.039,-0.065,-0.119,2020
HTI,Haiti,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-0.581,-1.165,-0.488,-0.882,-0.936,0.433,-0.932,-0.917,-1.972,-1.084,-0.874,-2.512,-3.277,-3.868,-5.088,-1.788,-3.194,-4.232,-4.376,-1.724,5.468,-0.898,-0.021,-0.017,-0.159,-0.254,-0.448,2019
HND,Honduras,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.508,-0.479,-0.282,-0.553,-0.678,-0.29,-0.404,-1.116,-2.13,-0.557,-0.804,-1.409,-1.581,-1.763,-1.372,-0.98,-0.683,-0.288,-1.379,-0.343,0.657,-0.577,-0.674,-1.003,-1.113,-1.234,-1.262,2019
HND,Honduras,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-7.155,-6.327,-3.621,-6.791,-7.733,-3.002,-3.725,-9.093,-15.446,-3.842,-5.112,-7.981,-8.532,-9.528,-6.946,-4.671,-3.144,-1.246,-5.782,-1.375,2.773,-2.206,-2.444,-3.446,-3.614,-3.781,-3.641,2019
HKG,Hong Kong SAR,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,7.538,10.393,13.129,17.461,16.849,21.637,24.539,27.553,33.007,21.148,15.996,13.844,4.148,4.188,4.055,10.264,12.701,15.593,13.523,21.937,22.703,20.115,19.417,18.235,17.658,18.184,18.959,2019
HKG,Hong Kong SAR,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,4.391,6.136,7.893,10.82,9.965,11.918,12.68,13.022,15.053,9.88,6.996,5.571,1.579,1.519,1.391,3.317,3.959,4.569,3.739,5.999,6.497,5.457,4.994,4.458,4.101,4.009,3.966,2019
HUN,Hungary,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-4.015,-3.131,-4.289,-6.811,-8.88,-8.138,-8.624,-10.334,-11.488,-1.044,0.256,0.661,1.993,4.699,1.701,2.938,5.765,2.811,0.445,-0.406,-0.296,-0.706,-0.579,-0.483,-0.532,-0.232,-0.562,2019
HUN,Hungary,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-8.503,-5.824,-6.344,-7.985,-8.542,-7.203,-7.462,-7.383,-7.265,-0.799,0.194,0.466,1.551,3.47,1.208,2.349,4.487,1.966,0.277,-0.249,-0.191,-0.4,-0.298,-0.233,-0.243,-0.101,-0.232,2019
ISL,Iceland,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-0.92,-0.35,0.113,-0.559,-1.389,-2.647,-3.967,-2.939,-3.758,-1.172,-0.838,-0.72,-0.528,1.008,0.786,0.986,1.681,1.046,0.985,1.581,0.228,0.251,0.43,0.435,0.486,0.539,0.6,2018
ISL,Iceland,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-10.197,-4.255,1.209,-4.888,-10.048,-15.708,-22.711,-13.575,-20.791,-8.913,-6.095,-4.727,-3.576,6.253,4.399,5.63,8.084,4.23,3.754,6.366,1.05,1.041,1.709,1.683,1.798,1.896,2.002,2018
IND,India,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,-2.666,3.4,6.344,14.082,-2.47,-9.901,-9.565,-15.736,-27.914,-38.437,-47.867,-78.2,-87.843,-32.257,-26.788,-22.086,-14.351,-48.662,-57.183,-24.55,27.281,-36.267,-54.034,-59.529,-76.416,-95.057,-114.386,2020
IND,India,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,-0.559,0.688,1.211,2.277,-0.342,-1.187,-1.008,-1.27,-2.28,-2.815,-2.802,-4.29,-4.806,-1.737,-1.314,-1.05,-0.626,-1.835,-2.117,-0.855,1.007,-1.189,-1.631,-1.658,-1.967,-2.264,-2.523,2020
